,Unnamed: 0,protein,ligand,type,value,unit,smiles
29,29,lps+nigericin thp-1 macrophages pyroptosis,28,IC50,> 100,uM,COc1ccc(CC(=O)Nc2ccc3c(c2)C(=O)NC3)cc1
30,30,lps+nigericin thp-1 macrophages pyroptosis,14,IC50,> 100,uM,COc1ccc(CC(=O)Nc2cccc(C)c2)cc1
31,31,lps+nigericin thp-1 macrophages pyroptosis,15,IC50,> 100,uM,COc1ccc(CC(=O)Nc2cccc(C(C)=O)c2)cc1
32,32,lps+nigericin thp-1 macrophages pyroptosis,29,IC50,> 100,uM,COc1ccc(CC(=O)Nc2ccc3c(c2)CNC3=O)cc1
33,33,lps+nigericin thp-1 macrophages pyroptosis,30,IC50,> 100,uM,COc1ccc(CC(=O)Nc2ccc3c(c2)OC(F)(F)O3)cc1
34,34,lps+nigericin thp-1 macrophages pyroptosis,8,IC50,0.2392,uM,COc1ccc(CC(=O)Nc2cccc(O)c2)cc1
35,35,lps+nigericin thp-1 macrophages pyroptosis,31,IC50,> 100,uM,O=C(Cc1ccccc1)Nc1cccc(O)c1
36,36,lps+nigericin thp-1 macrophages pyroptosis,32,IC50,> 100,uM,COc1ccccc1CC(=O)Nc1cccc(O)c1
37,37,lps+nigericin thp-1 macrophages pyroptosis,33,IC50,> 100,uM,COc1cccc(CC(=O)Nc2cccc(O)c2)c1
38,38,lps+nigericin thp-1 macrophages pyroptosis,34,IC50,> 100,uM,O=C(Cc1ccc(O)cc1)Nc1cccc(O)c1
39,39,lps+nigericin thp-1 macrophages pyroptosis,35,IC50,0.3873,uM,CCOc1ccc(CC(=O)Nc2cccc(O)c2)cc1
40,40,lps+nigericin thp-1 macrophages pyroptosis,36,IC50,> 100,uM,O=C(Cc1ccc(OCc2ccccc2)cc1)Nc1cccc(O)c1
41,41,lps+nigericin thp-1 macrophages pyroptosis,37,IC50,2.821,uM,Cc1ccc(CC(=O)Nc2cccc(O)c2)cc1
42,42,lps+nigericin thp-1 macrophages pyroptosis,38,IC50,2.208,uM,CCCc1ccc(CC(=O)Nc2cccc(O)c2)cc1
43,43,lps+nigericin thp-1 macrophages pyroptosis,39,IC50,0.1768,uM,CC(C)c1ccc(CC(=O)Nc2cccc(O)c2)cc1
44,44,lps+nigericin thp-1 macrophages pyroptosis,40,IC50,12.42,uM,CC(C)(C)c1ccc(CC(=O)Nc2cccc(O)c2)cc1
45,45,lps+nigericin thp-1 macrophages pyroptosis,47,IC50,2.318,uM,O=C(Cc1ccc(OC(F)(F)F)cc1)Nc1cccc(O)c1
46,46,lps+nigericin thp-1 macrophages pyroptosis,48,IC50,0.3803,uM,O=C(Cc1ccc(OC(F)F)cc1)Nc1cccc(O)c1
47,47,lps+nigericin thp-1 macrophages pyroptosis,49,IC50,> 100,uM,CS(=O)(=O)c1ccc(CC(=O)Nc2cccc(O)c2)cc1
48,48,lps+nigericin thp-1 macrophages pyroptosis,50,IC50,> 100,uM,O=C(Cc1ccc([N+](=O)[O-])cc1)Nc1cccc(O)c1
49,49,lps+nigericin thp-1 macrophages pyroptosis,51,IC50,3.625,uM,CC(=O)Nc1ccc(CC(=O)Nc2cccc(O)c2)cc1
50,50,lps+nigericin thp-1 macrophages pyroptosis,52,IC50,> 100,uM,CS(=O)(=O)Nc1ccc(CC(=O)Nc2cccc(O)c2)cc1
51,51,lps+nigericin thp-1 macrophages pyroptosis,53,IC50,1.621,uM,O=C(Cc1ccc2ccccc2c1)Nc1cccc(O)c1
52,52,lps+nigericin thp-1 macrophages pyroptosis,54,IC50,> 100,uM,O=C(Cc1cccc2ccccc12)Nc1cccc(O)c1
53,53,lps+nigericin thp-1 macrophages pyroptosis,55,IC50,> 100,uM,O=C(Cc1ccc2c(c1)OCO2)Nc1cccc(O)c1
54,54,lps+nigericin thp-1 macrophages pyroptosis,56,IC50,> 100,uM,O=C(Cc1ccc2c(c1)CCO2)Nc1cccc(O)c1
55,55,lps+nigericin thp-1 macrophages pyroptosis,57,IC50,> 100,uM,O=C(Cc1ccc2ncccc2c1)Nc1cccc(O)c1
56,56,lps+nigericin thp-1 macrophages pyroptosis,58,IC50,5.035,uM,O=C(Cn1ccc2ccccc2c1=O)Nc1cccc(O)c1
57,57,lps+nigericin thp-1 macrophages pyroptosis,42,IC50,> 100,uM,O=C(Cc1ccc(-c2ccccc2)cc1)Nc1cccc(O)c1
58,58,lps+nigericin thp-1 macrophages pyroptosis,43,IC50,> 100,uM,O=C(Cc1ccc(F)cc1)Nc1cccc(O)c1
59,59,lps+nigericin thp-1 macrophages pyroptosis,44,IC50,3.986,uM,O=C(Cc1ccc(Cl)cc1)Nc1cccc(O)c1
60,60,lps+nigericin thp-1 macrophages pyroptosis,45,IC50,0.6453,uM,O=C(Cc1ccc(Br)cc1)Nc1cccc(O)c1
61,61,lps+nigericin thp-1 macrophages pyroptosis,46,IC50,1.083,uM,O=C(Cc1ccc(C(F)(F)F)cc1)Nc1cccc(O)c1
62,62,lps+nigericin thp-1 macrophages pyroptosis,59(J114),IC50,0.077,uM,O=C(Cc1ccc2cc[nH]c2c1)Nc1cccc(O)c1
63,63,lps+nigericin thp-1 macrophages pyroptosis,60,IC50,13.22,uM,O=C(Cc1cc2ccccc2[nH]1)Nc1cccc(O)c1
64,64,lps+nigericin thp-1 macrophages pyroptosis,61,IC50,> 100,uM,O=C(Cc1cccc2[nH]ccc12)Nc1cccc(O)c1
65,65,lps+nigericin thp-1 macrophages pyroptosis,62,IC50,> 100,uM,O=C(Cc1c[nH]c2ccccc12)Nc1cccc(O)c1
66,66,lps+nigericin thp-1 macrophages pyroptosis,63,IC50,> 100,uM,O=C(Cn1ccc2ccccc21)Nc1cccc(O)c1
